id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,0.0,0.0,0.0,2.8711188e-32,0.0,2.158411e-35,0.0,0.0,0.0,0.0,1.4301218e-26,0.0,3.3327353e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1392389e-36,0.0,0.0,0.0,0.0,0.0,1.320161e-34,0.0,0.0,0.0,0.0,1.1872775e-27,0.0,0.0,1.9352044e-31,0.0,2.8896352e-38,0.0,8.845569e-37,0.0,0.0,9.831574e-37,0.0,0.0,3.717582e-35,6.9238775e-35,1.4049953e-16,0.0,0.0,0.0,5.5210205e-34,1.0,0.0,0.0,0.0,4.1132043e-25,7.714938e-32,0.0,0.0,0.0,0.0,2.0234562e-38,1.9136452e-37,0.0,3.7815273e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3256424e-25,0.0,0.0,0.0,3.3918535e-26,5.9493212e-27,0.0,0.0,0.0,7.998066e-32,3.562193e-26,0.0,0.0,0.0,1.7389941e-37,0.0,7.373241e-35,1.8394223e-37,0.0,0.0,0.0,0.0,0.0,1.2433951e-38,0.0
7,1.4564348e-23,2.0177231e-29,6.506201e-25,5.2116046e-20,7.2871664e-37,4.4064356e-31,3.576055e-25,1.3771725e-33,2.4724526e-26,6.999436e-26,4.285472e-30,8.823286e-31,6.147643e-26,6.556722e-27,5.1014415e-32,1.5594324e-35,2.2189281e-29,1.2963123e-26,2.0787024e-28,2.3478316e-16,7.5796416e-32,1.4826588e-30,5.197655e-32,5.248463e-24,9.791237e-20,1.6766302e-35,4.8882952e-26,4.8557475e-28,8.0868574e-23,6.212641e-33,1.1622721e-27,1.7763601e-29,3.8834592e-25,2.9355202e-31,5.1502875e-24,0.0,2.818264e-23,2.6236234e-25,2.9597758e-15,9.9101754e-26,2.2914994e-19,5.3116405e-19,1.0231466e-18,1.9200064e-15,4.2620694e-26,1.2950553e-21,6.772462e-30,4.8893693e-14,2.334422e-20,7.738231e-30,1.0,3.7074655e-30,2.8142167e-21,1.6461468e-20,1.3102781e-14,6.081294e-23,6.847712e-25,3.025535e-19,8.829306e-25,4.1592855e-21,1.18985894e-17,5.7039926e-20,2.4106075e-38,2.1271264e-23,2.7573415e-30,1.3684194e-29,9.1318064e-26,9.483119e-27,5.055909e-19,8.132289e-11,1.9077555e-30,1.7965165e-23,2.0758454e-32,7.193941e-24,2.0678088e-31,5.5649576e-27,3.5601423e-18,4.42498e-24,7.659089e-29,9.836033e-23,5.581535e-29,2.7102518e-19,2.9037572e-23,2.9057169e-24,8.534853e-21,1.9501284e-17,2.9993605e-17,2.9354633e-13,1.9019221e-36,4.651528e-25,1.0445076e-21,4.659442e-28,1.6473797e-33,1.1591863e-34,1.4410447e-29,1.1433645e-24,8.100224e-16,1.177628e-29,1.6111784e-17
9,1.8090315e-31,0.99999964,1.6404613e-34,1.2348184e-26,3.9304402e-07,1.0003224e-18,1.8731688e-23,3.4721985e-24,1.4843232e-21,3.04558e-18,1.4498256e-32,9.435172e-17,6.24104e-28,4.1524257e-33,8.887217e-26,4.7096342e-29,5.7573717e-21,1.3968405e-30,1.7825018e-30,2.916972e-20,1.5348687e-20,1.5125906e-26,0.0,2.9917898e-35,0.0,3.6885328e-30,2.889059e-17,0.0,6.7582585e-32,1.2386401e-33,2.372057e-38,1.0255108e-32,6.987192e-25,2.7603954e-28,0.0,4.5731454e-17,5.9568056e-22,0.0,8.055358e-38,1.1659724e-32,0.0,8.67879e-27,0.0,0.0,2.5648409e-33,0.0,4.7015206e-29,9.937436e-32,1.4677232e-30,2.1682384e-28,4.7102417e-38,1.3937654e-28,0.0,2.1269233e-30,8.0033795e-23,1.5159456e-35,7.9329016e-28,0.0,0.0,4.313667e-29,1.5126796e-38,0.0,0.0,1.5483858e-31,4.3149793e-31,1.1765461e-28,1.9174774e-33,0.0,0.0,1.8737925e-36,7.2854144e-29,2.6182716e-34,8.3323205e-33,3.4832205e-33,8.399776e-28,5.107032e-38,2.1087433e-25,2.3316112e-33,4.120523e-24,3.762476e-29,3.8348585e-27,0.0,7.5809535e-36,0.0,2.4941278e-32,1.5512674e-28,3.9541843e-38,3.37919e-37,1.0667241e-33,9.389736e-28,0.0,1.07464175e-29,1.625656e-31,1.1381818e-23,4.096174e-29,5.2372605e-32,0.0,0.0,8.511627e-23
12,2.1683185e-31,5.1930044e-22,0.0,0.0,1.1891473e-38,0.0,4.218342e-29,7.2958445e-37,2.7180392e-33,1.4515067e-27,0.0,4.035694e-18,3.6639937e-37,2.762156e-20,1.9513018e-27,0.0,3.966106e-30,5.7472947e-31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.422737e-33,0.0,0.0,0.0,0.0,0.0,1.3116588e-32,0.0,0.0,0.0,2.1839675e-30,0.0,0.0,0.0,0.0,9.026935e-33,0.0,0.0,1.6853143e-33,0.0,0.0,2.8298837e-11,3.904352e-21,0.0,1.190675e-34,0.0,0.0,0.0,1.3819752e-36,0.0,0.0,4.7856297e-28,5.414317e-34,4.0124467e-36,0.0,0.0,0.0,1.3119247e-31,0.0,0.0,0.0,0.0,0.0,1.0226428e-34,0.0,1.2468692e-35,0.0,6.5122117e-32,0.0,0.0,3.0259884e-32,4.2702783e-38,0.0,0.0,0.0,0.0,9.1462416e-33,0.0,1.0304658e-36,2.407225e-31,7.49622e-33,3.7791354e-36,0.0,5.108641e-27,0.0,0.0,0.0,0.0,1.0221314e-35,7.200085e-18,0.0,0.0,4.5678364e-29
13,5.920984e-24,7.598569e-26,0.0,0.0,9.603918e-33,0.0,3.3272678e-24,1.257624e-32,6.8568698e-15,2.7641278e-27,1.6058439e-20,4.5900277e-18,2.1054425e-23,4.3433227e-22,1.0,7.6868894e-38,3.0338894e-20,5.861286e-20,1.7889095e-33,2.4814498e-32,9.7697e-22,0.0,7.707333e-36,0.0,1.3193126e-38,2.97115e-34,5.6586485e-22,0.0,0.0,0.0,0.0,0.0,2.3283666e-34,0.0,3.1491204e-34,3.998879e-28,1.5537084e-35,0.0,3.2612359e-37,0.0,0.0,7.005943e-29,0.0,0.0,1.3317365e-30,1.4205667e-36,0.0,7.820593e-27,4.285457e-22,1.3702714e-25,0.0,3.137155e-26,5.3341996e-34,0.0,9.419108e-38,0.0,0.0,6.195122e-35,1.6428524e-36,7.636318e-33,0.0,6.5736906e-38,1.7450888e-36,1.1627562e-26,2.255432e-33,0.0,0.0,0.0,0.0,0.0,0.0,1.0979717e-36,6.628636e-38,1.9299534e-33,9.3210554e-32,4.871493e-38,2.4499723e-29,0.0,6.3181215e-30,1.9684964e-28,3.597057e-17,5.226788e-38,3.6968105e-26,1.6322135e-37,4.419359e-33,0.0,0.0,0.0,1.4864826e-36,1.8847428e-18,0.0,2.7808748e-16,2.0698634e-36,2.4970912e-23,1.18098765e-23,4.0989748e-21,1.4560515e-38,0.0,8.8092975e-38
16,3.2750744e-37,1.4384744e-29,2.0048926e-31,1.0,0.0,0.0,8.111948e-30,2.643195e-23,1.5641609e-30,1.2229817e-34,1.0511732e-24,1.405549e-29,5.4288315e-28,3.02811e-34,8.317515e-28,0.0,0.0,4.6827798e-30,0.0,1.8418086e-23,7.989789e-35,7.108234e-23,0.0,1.3433203e-35,2.8953347e-34,1.9438821e-32,6.8656657e-22,2.6774723e-33,6.36608e-35,0.0,0.0,3.7437515e-36,2.326294e-30,3.8775736e-37,6.702905e-32,1.8533216e-34,1.2323079e-23,0.0,0.0,1.737808e-36,0.0,1.0362321e-30,1.3922044e-27,1.7171198e-32,3.836456e-34,1.1661988e-26,7.689963e-32,2.0524262e-34,5.233422e-34,4.2845108e-36,9.876328e-25,1.5277477e-36,9.2734954e-17,6.893885e-35,5.345485e-34,4.8322604e-36,0.0,1.3479505e-35,3.4737103e-24,4.41388e-27,5.351418e-28,9.1404426e-35,6.184611e-36,4.5588298e-32,5.7046006e-28,2.7265874e-32,1.7169308e-31,0.0,3.9749958e-38,2.9768384e-31,0.0,9.9323535e-26,0.0,1.7813703e-19,0.0,1.7695126e-25,4.036606e-31,0.0,0.0,1.7470817e-27,1.2438192e-35,3.7841325e-18,6.359485e-33,2.4264194e-24,0.0,4.843094e-28,1.5640552e-28,0.0,0.0,4.9032832e-37,1.03058514e-26,1.5332054e-30,1.0351469e-20,9.0003606e-32,1.1902194e-29,9.119554e-33,1.2232063e-18,9.467511e-33,4.561832e-35
19,8.1194645e-24,4.1586626e-23,3.340407e-23,1.0,1.3765317e-33,2.1543287e-37,3.5016593e-26,2.3010525e-22,4.8301543e-23,1.5944654e-28,3.880365e-17,8.002129e-31,4.8267823e-16,1.512914e-34,7.3940657e-25,3.248132e-33,4.34724e-27,3.1638684e-28,3.2520032e-31,6.695171e-22,7.343157e-26,1.0111495e-18,1.9267717e-37,3.8278593e-27,2.1048944e-25,1.22296336e-26,4.3389782e-17,1.1213562e-25,4.0941822e-26,4.665495e-33,3.2885407e-32,5.975192e-31,2.1733015e-18,6.41531e-32,1.4319302e-24,1.3290569e-30,1.5324647e-20,1.3277698e-30,6.6093005e-29,5.668888e-30,8.6792355e-32,4.2640297e-22,3.7347897e-23,6.720409e-27,1.7015791e-27,1.7119316e-19,4.6191767e-22,3.383952e-29,1.3290278e-28,4.136527e-31,4.7066165e-15,2.1030622e-27,2.084353e-12,5.937317e-23,1.686007e-20,5.812227e-23,1.3421667e-29,1.5588832e-30,1.25193075e-20,2.0406358e-21,9.506577e-22,1.9998292e-30,1.1708016e-29,3.8532303e-29,1.2365491e-18,8.1215607e-19,2.4647244e-31,5.9029345e-34,8.386003e-30,2.9786126e-22,1.170678e-34,1.02908256e-22,2.0932879e-36,2.1328904e-20,1.3182745e-33,1.5411461e-21,2.2957107e-24,1.01801205e-32,1.821983e-31,1.113063e-17,1.1120976e-28,7.477753e-15,1.4499792e-27,1.9206001e-22,1.032726e-26,3.490556e-15,2.2587056e-24,6.519269e-25,1.6331013e-33,5.868135e-34,3.7963028e-20,1.5207346e-22,4.7149967e-20,6.6483826e-25,9.909321e-23,1.4736241e-32,2.009574e-13,1.4935026e-28,4.0333966e-20
23,5.2888675e-20,5.158175e-14,5.723143e-10,1.8008352e-11,1.02517335e-11,4.795428e-14,9.4127605e-12,2.8288326e-20,2.582464e-17,1.4493433e-18,3.749747e-16,2.3299822e-19,6.810728e-21,6.847961e-27,2.2437108e-23,4.2127958e-08,3.514325e-21,1.00677133e-28,4.597933e-16,3.2455778e-18,1.1576538e-16,1.08244195e-14,7.752821e-15,1.2208969e-12,1.332075e-09,1.1322488e-15,5.515069e-23,4.1546256e-26,0.99961406,0.0003832873,2.9604927e-10,3.755728e-25,8.529262e-18,2.4099148e-24,6.845988e-16,1.1474286e-14,1.3038002e-18,3.85674e-15,1.0916227e-14,6.566331e-19,1.0720969e-17,8.173376e-24,1.7538647e-12,1.1383394e-20,4.7962824e-20,2.272313e-26,2.0600134e-23,6.933215e-24,2.8638263e-28,7.440571e-19,8.3957385e-20,1.2277059e-20,9.821723e-19,6.2505224e-20,1.706025e-14,1.1773831e-09,4.2430173e-13,4.2726585e-21,6.714135e-32,1.9417906e-17,7.8215443e-19,1.8745385e-14,2.4821163e-20,1.408749e-19,2.0576765e-12,2.5056e-16,2.5454048e-14,2.2839852e-14,2.6223602e-18,5.902282e-10,2.6833943e-06,2.3587269e-17,2.8315928e-15,1.2577765e-17,7.7483055e-28,2.114806e-27,3.174263e-13,4.5769543e-22,4.8506513e-21,1.4008101e-15,3.0042577e-18,3.3875334e-14,7.32275e-21,1.7902901e-30,8.4824924e-21,1.8173224e-14,4.8679806e-22,4.1251964e-11,1.506895e-25,6.603659e-19,2.1657929e-11,1.4158698e-21,1.8739876e-18,4.4320038e-13,2.1334352e-19,1.0694958e-23,4.8545646e-18,8.109867e-23,1.26104054e-14
24,3.8714615e-26,1.6848424e-36,0.0,0.0,0.0,6.948317e-30,0.0,0.0,1.7214783e-28,0.0,0.0,0.0,0.0,0.0,9.753459e-38,0.0,5.4973606e-25,0.0,0.0,4.7880583e-28,3.6062926e-38,1.1475298e-37,0.0,0.0,0.0,0.0,1.04783115e-30,0.0,0.0,0.0,0.0,6.8765644e-31,2.8150951e-30,0.0,0.0,0.0,0.0,8.904366e-24,1.7684877e-24,4.0411626e-33,0.0,8.6382665e-27,1.9001396e-27,0.0,6.101741e-31,6.1937926e-37,0.0,3.0649232e-36,1.9607457e-37,7.4470244e-26,5.9136884e-33,6.2536336e-33,0.0,0.0,1.3021994e-35,2.0382126e-32,1.8095784e-30,8.470673e-34,7.3575e-37,5.4469892e-33,0.0,1.2803934e-34,0.0,4.766051e-33,1.3247908e-36,0.0,0.0,0.0,0.0,9.524972e-24,0.0,0.0,2.878519e-26,0.0,4.129095e-34,1.6504941e-32,2.4269864e-37,1.0704642e-30,8.9439265e-31,0.0,0.0,0.0,7.6528136e-28,3.7963248e-31,1.0,0.0,0.0,3.569934e-33,3.2644755e-35,1.7542911e-23,1.2391859e-30,0.0,0.0,0.0,1.2057926e-31,1.9606893e-26,0.0,0.0,0.0
28,1.0144175e-19,4.3526775e-22,1.5643809e-31,1.2699788e-19,2.5674704e-29,3.369801e-33,1.7875271e-23,1.0941558e-11,1.0,7.30742e-25,5.758145e-20,3.7940113e-22,2.7108385e-21,1.0850616e-33,1.8595252e-19,3.1585285e-34,6.0046956e-22,4.4640837e-21,2.7197256e-36,7.086254e-22,8.075312e-27,8.761362e-33,0.0,0.0,0.0,0.0,2.7169624e-17,0.0,0.0,0.0,5.432139e-38,4.358366e-34,9.612722e-24,2.099404e-30,6.548167e-29,5.67666e-29,2.362539e-31,1.9185863e-37,2.9378861e-37,5.8513253e-34,5.539398e-33,3.7890425e-26,3.9350872e-32,0.0,5.49946e-32,4.7880012e-29,9.086062e-37,4.7104984e-29,5.4178154e-24,1.2262384e-33,3.9435144e-26,8.633327e-34,1.261967e-34,5.035765e-38,2.4391048e-32,1.2545286e-32,2.743968e-34,1.2806895e-37,3.58711e-24,9.456435e-32,0.0,6.4199124e-32,0.0,4.0977924e-33,7.389212e-26,6.174662e-29,0.0,0.0,0.0,3.0871406e-33,0.0,2.8259068e-31,0.0,1.019939e-34,2.3497688e-37,1.8433394e-32,4.995453e-30,0.0,4.205773e-31,4.636332e-31,1.3821379e-37,2.6737919e-30,3.6626168e-26,9.70836e-30,1.4809367e-20,6.362479e-30,2.733047e-37,1.2097748e-36,0.0,7.6475955e-19,2.515702e-34,5.784872e-28,2.5651916e-35,3.4215022e-30,1.2267827e-23,1.3041497e-25,1.0269239e-33,0.0,6.69119e-29
